true_orientation,0,45,90,135,180,225,270,315
0,0.7333333333333333,0.02666666666666667,0.0,0.04,0.13333333333333333,0.02666666666666667,0.013333333333333334,0.02666666666666667
45,0.05333333333333334,0.7066666666666667,0.013333333333333334,0.013333333333333334,0.06666666666666667,0.14666666666666667,0.0,0.0
90,0.02702702702702703,0.02702702702702703,0.581081081081081,0.02702702702702703,0.04054054054054054,0.04054054054054054,0.25675675675675674,0.0
135,0.02702702702702703,0.0,0.0,0.4864864864864865,0.16216216216216217,0.0,0.0,0.32432432432432434
180,0.16,0.013333333333333334,0.0,0.0,0.8,0.013333333333333334,0.0,0.013333333333333334
225,0.02666666666666667,0.14666666666666667,0.0,0.0,0.09333333333333334,0.72,0.013333333333333334,0.0
270,0.0,0.0,0.22666666666666666,0.04,0.09333333333333334,0.02666666666666667,0.6,0.013333333333333334
315,0.08,0.0,0.0,0.26666666666666666,0.02666666666666667,0.0,0.04,0.5866666666666667
