true_orientation,0,45,90,135,180,225,270,315
0,0.41333333333333333,0.06666666666666667,0.02666666666666667,0.14666666666666667,0.02666666666666667,0.08,0.12,0.12
45,0.14666666666666667,0.41333333333333333,0.10666666666666667,0.09333333333333334,0.02666666666666667,0.14666666666666667,0.013333333333333334,0.05333333333333334
90,0.05333333333333334,0.13333333333333333,0.29333333333333333,0.12,0.10666666666666667,0.02666666666666667,0.14666666666666667,0.12
135,0.06756756756756757,0.04054054054054054,0.08108108108108109,0.2702702702702703,0.13513513513513514,0.13513513513513514,0.08108108108108109,0.1891891891891892
180,0.04054054054054054,0.04054054054054054,0.05405405405405406,0.0945945945945946,0.4594594594594595,0.20270270270270271,0.02702702702702703,0.08108108108108109
225,0.013333333333333334,0.12,0.013333333333333334,0.09333333333333334,0.09333333333333334,0.5066666666666667,0.08,0.08
270,0.02666666666666667,0.05333333333333334,0.14666666666666667,0.05333333333333334,0.02666666666666667,0.05333333333333334,0.6,0.04
315,0.13333333333333333,0.10666666666666667,0.02666666666666667,0.14666666666666667,0.06666666666666667,0.12,0.08,0.32
