targeted_structure,n_sessions,mean_0,sem_0,mean_45,sem_45,mean_90,sem_90,mean_135,sem_135,mean_180,sem_180,mean_225,sem_225,mean_270,sem_270,mean_315,sem_315
VISal,6,0.01359983151019846,0.0031104578457663424,0.01536507568566027,0.00302178270836719,0.013514240335003624,0.0032606998247657272,0.013197771131423876,0.003057026764348233,0.013646337112890448,0.0021676279941822353,0.013781989525357231,0.003180841146715397,0.014053570831443435,0.0032221970529651097,0.012722675392590978,0.0019411484574856008
VISp,8,0.013104632414761123,0.0020449831028133024,0.010158406875891795,0.0019463534397914232,0.012106706943258756,0.001743564119529169,0.008718000943670375,0.0016863603407735437,0.013569104089742249,0.002109463621209187,0.011294084628273736,0.002202245187359922,0.011153408537270496,0.0020659407557345566,0.011092730771649899,0.0026702282123364823
VISpm,7,0.041357024239881045,0.008427717649185757,0.041591974843400006,0.008262471934359842,0.04397531795263664,0.009207232011193176,0.03636049817774666,0.00751607208320484,0.039303492966287455,0.006829315900772333,0.04173025531979091,0.009060246436053484,0.044222212714769955,0.010387703284611215,0.03849332263707269,0.007259114336846213
