true_orientation,0,45,90,135,180,225,270,315
0,0.48,0.013333333333333334,0.0,0.10666666666666667,0.28,0.05333333333333334,0.0,0.06666666666666667
45,0.05333333333333334,0.72,0.0,0.08,0.02666666666666667,0.09333333333333334,0.013333333333333334,0.013333333333333334
90,0.04,0.0,0.5333333333333333,0.13333333333333333,0.0,0.05333333333333334,0.21333333333333335,0.02666666666666667
135,0.09333333333333334,0.0,0.06666666666666667,0.4266666666666667,0.04,0.08,0.02666666666666667,0.26666666666666666
180,0.22666666666666666,0.0,0.0,0.08,0.6133333333333333,0.02666666666666667,0.0,0.05333333333333334
225,0.06756756756756757,0.12162162162162163,0.013513513513513514,0.08108108108108109,0.08108108108108109,0.6081081081081081,0.0,0.02702702702702703
270,0.02666666666666667,0.02666666666666667,0.22666666666666666,0.05333333333333334,0.02666666666666667,0.04,0.5733333333333334,0.02666666666666667
315,0.02702702702702703,0.02702702702702703,0.04054054054054054,0.3783783783783784,0.05405405405405406,0.04054054054054054,0.02702702702702703,0.40540540540540543
