true_orientation,0,45,90,135,180,225,270,315
0,0.6486486486486487,0.1891891891891892,0.013513513513513514,0.0,0.08108108108108109,0.0,0.0,0.06756756756756757
45,0.013333333333333334,0.7466666666666667,0.09333333333333334,0.0,0.05333333333333334,0.04,0.013333333333333334,0.04
90,0.0,0.12162162162162163,0.6486486486486487,0.04054054054054054,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.10810810810810811
135,0.0,0.02666666666666667,0.013333333333333334,0.7066666666666667,0.05333333333333334,0.0,0.013333333333333334,0.18666666666666668
180,0.013333333333333334,0.06666666666666667,0.09333333333333334,0.0,0.6266666666666667,0.09333333333333334,0.0,0.10666666666666667
225,0.013333333333333334,0.10666666666666667,0.05333333333333334,0.0,0.05333333333333334,0.72,0.013333333333333334,0.04
270,0.013333333333333334,0.04,0.08,0.0,0.05333333333333334,0.02666666666666667,0.72,0.06666666666666667
315,0.0,0.06666666666666667,0.10666666666666667,0.13333333333333333,0.02666666666666667,0.0,0.0,0.6666666666666666
