session_id,neuron_index,cell_specimen_id,importance_rank,mean_importance,std_importance,selection_frequency,selected_any_fold,stable_selected,coefficient_orientation_0,coefficient_orientation_45,coefficient_orientation_90,coefficient_orientation_135,coefficient_orientation_180,coefficient_orientation_225,coefficient_orientation_270,coefficient_orientation_315
505695962,55,517512670,1,0.2899833179639459,0.02429933590883613,1.0,True,True,0.0,0.0,0.0,1.0020990671004901,0.0,0.0,0.0,1.3177674766110776
505695962,74,517514109,2,0.24148605263558004,0.02168374633546192,1.0,True,True,0.0,0.0,0.9788273326466876,0.0,0.0,0.0,0.9530610884379529,0.0
505695962,43,517510556,3,0.19734642100810898,0.018862578718805895,1.0,True,True,0.0,0.9245062070471667,0.0,0.0,0.0,0.6542651610177049,0.0,0.0
505695962,105,589172712,4,0.11549929472642909,0.01907121635269598,1.0,True,True,0.5445890459426234,0.3794053118688093,0.0,0.0,0.0,0.0,0.0,0.0
505695962,146,517511888,5,0.11193502148440493,0.031065210230784242,1.0,True,True,0.0,0.0,0.5454690818159917,0.0,0.0,0.0,0.3500110900592477,0.0
505695962,177,517509628,6,0.09261716080368572,0.008790059837613058,1.0,True,True,0.0,0.551535330034864,0.0,0.0,0.0,0.1894019563946217,0.0,0.0
505695962,212,517510835,7,0.07542767609295688,0.011180117897893815,1.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.603421408743655,0.0
505695962,59,517511112,8,0.07504842471036394,0.016168223355154325,1.0,True,True,0.0,0.009915399529586047,0.0,0.0,0.0,0.5904719981533255,0.0,0.0
505695962,157,517513516,9,0.06615664561894363,0.0059332034969960135,1.0,True,True,0.0,0.0,0.5292531649515491,0.0,0.0,0.0,0.0,0.0
505695962,50,517514072,10,0.05685427990968828,0.014056512014049935,1.0,True,True,0.0,0.0,0.4548342392775062,0.0,0.0,0.0,0.0,0.0
505695962,143,589172238,11,0.05625590742978333,0.007411978052635,1.0,True,True,0.4500472594382666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505695962,28,517509944,12,0.05493224841521723,0.008915565438647632,1.0,True,True,0.22123950433816814,0.0,0.0,0.0,-0.16805123880262723,0.0,0.0,0.05016724418094257
505695962,16,517511418,13,0.05439863468241435,0.0090960593050615,1.0,True,True,0.0,0.0,0.0,0.4337635796848708,0.0,0.0,0.0,0.001425497774443982
505695962,36,517509927,14,0.05419187134819915,0.025985958093105437,1.0,True,True,0.0,0.17349646924165135,0.0,0.0,0.0,0.2600385015439418,0.0,0.0
505695962,37,517509995,15,0.05030541965998374,0.01235834023929496,1.0,True,True,0.26687637208899767,0.02594422775284379,0.0,0.0,0.1096227574380284,0.0,0.0,0.0
505695962,30,517513912,16,0.039998921028626434,0.0067322524717523275,1.0,True,True,0.0,0.3199913682290115,0.0,0.0,0.0,0.0,0.0,0.0
505695962,220,517512022,17,0.03755024602571821,0.009363228708039613,1.0,True,True,0.0,0.0,0.0,0.0,0.30040196820574566,0.0,0.0,0.0
505695962,79,517512852,18,0.03715829290763882,0.014683451899842822,1.0,True,True,0.0,0.0,0.0,0.19807898046557984,0.0,0.0,0.0,0.0991873627955308
505695962,150,517510998,19,0.03566889954091233,0.011048669686576845,1.0,True,True,0.0,0.0,0.0,0.0,0.0,0.28535119632729866,0.0,0.0
505695962,224,517512188,20,0.03484892328370046,0.009414748367701207,1.0,True,True,0.0,0.0017758993816608486,0.0,0.0,0.0,0.27701548688794275,0.0,0.0
505695962,73,589166395,21,0.03424440624568919,0.007891786530583733,1.0,True,True,0.0,0.0,0.0,0.0,0.0,0.2739552499655135,0.0,0.0
505695962,166,517513919,22,0.030008727732253666,0.0052014869914750175,1.0,True,True,0.0,0.24006982185802933,0.0,0.0,0.0,0.0,0.0,0.0
505695962,216,517512798,23,0.02970205218427565,0.016501420988861818,0.8,True,True,0.0,0.0,-0.01218062424332257,0.0,0.09619345991417046,0.1292423333167122,0.0,0.0
505695962,80,517513273,24,0.029215693153250823,0.010771905837710097,1.0,True,True,0.0,0.0,0.0,0.0,0.23372554522600658,0.0,0.0,0.0
505695962,174,517513767,25,0.027741444922235688,0.009892335974411972,1.0,True,True,0.0,0.21368911033727142,0.0,0.0,0.0,0.008242449040614074,0.0,0.0
505695962,182,517511177,26,0.026616823645587446,0.0048473810379753525,1.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.21293458916469957,0.0
505695962,116,589172784,27,0.025944589859163376,0.014172706480022534,1.0,True,True,0.0,0.02808290556417689,0.0,0.0,0.1794738133091301,0.0,0.0,0.0
505695962,60,517514488,28,0.025388650418278084,0.007606309009156073,1.0,True,True,0.16594919481422923,0.0,0.0,0.0,0.0,0.0,0.0,0.03716000853199548
505695962,5,517513054,29,0.02434033431260784,0.0035644060775217716,1.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.19472267450086272,0.0
505695962,130,589164335,30,0.02364739692043117,0.008826358490123665,1.0,True,True,0.18917917536344936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505695962,96,517512885,31,0.02249070847819907,0.00807087210779796,1.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.17992566782559255,0.0
505695962,198,517514464,32,0.022292383712074204,0.013993069778075476,1.0,True,True,0.0,0.0,0.17833906969659363,0.0,0.0,0.0,0.0,0.0
505695962,188,517511925,33,0.021078940701290082,0.011461062721271068,0.8,True,True,0.0,0.0,0.0,0.16863152561032066,0.0,0.0,0.0,0.0
505695962,26,517509868,34,0.020763279428747384,0.0057522836993354675,1.0,True,True,-0.14719902045059308,0.01620550707763266,0.0,0.0,-0.002701707901753342,0.0,0.0,0.0
505695962,97,517513475,35,0.020340415218431062,0.01407918668519889,0.8,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1627233217474485
505695962,187,517510862,36,0.01985144869658615,0.01151053149406173,1.0,True,True,0.0,0.0,0.0,-0.07486219773322408,0.08394939183946512,0.0,0.0,0.0
505695962,10,589163455,37,0.019449169965267098,0.009257051739601637,1.0,True,True,0.0,0.15559335972213678,0.0,0.0,0.0,0.0,0.0,0.0
505695962,136,517513727,38,0.019428066001297175,0.006085980351111915,1.0,True,True,0.0,0.0,0.0,0.0,0.1554245280103774,0.0,0.0,0.0
