session_id,cell_specimen_id,mean_importance,selection_frequency,coefficient_orientation_0,coefficient_orientation_45,coefficient_orientation_90,coefficient_orientation_135,coefficient_orientation_180,coefficient_orientation_225,coefficient_orientation_270,coefficient_orientation_315
551888519,588881025,0.07876264953109624,1.0,0.5552583475201087,0.07484284872866118,0.0,0.0,0.0,0.0,0.0,0.0
551888519,566956901,0.07839127796573248,1.0,0.0,0.0,-0.01326574030864526,0.0,0.0641706956599333,0.5496937877572814,0.0,0.0
551888519,566956753,0.07834904145737899,1.0,0.0,0.0,0.0,0.017578026572916478,0.6092143050861154,0.0,0.0,0.0
551888519,566957115,0.06306382127649586,1.0,0.5045105702119669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551888519,588881046,0.06152160787720705,1.0,0.0,0.0,0.0,0.0,0.36618869692833167,0.12598416608932472,0.0,0.0
551888519,566956856,0.0608422880810502,1.0,0.0,0.0,0.4560008272767865,0.0,0.00819542483327205,0.0,0.0,-0.022542052538343127
551888519,566958149,0.05892897491195194,1.0,0.0,0.16139823605342712,-0.0411685133654031,0.0,0.0,0.2688650498767852,0.0,0.0
551888519,566957184,0.0573508518206136,1.0,0.0,-0.0318363947555355,0.0,0.0,0.0,0.0,0.42697041980937334,0.0
551888519,566958284,0.05351426571528624,1.0,0.0,0.11009474048644192,0.021430062889622774,0.0,-0.2921819314417263,0.0,0.004407390904498914,0.0
551888519,588881003,0.051853864950470244,1.0,0.0,0.25083544924362355,0.0,-0.03127893804476451,0.0,0.0,0.0,-0.13271653231537386
551888519,566957621,0.051253029172171984,1.0,0.0,-0.0007897267488844054,-0.0013596430891808272,0.1495092791520474,0.00997553476635363,0.24839004962090963,0.0,0.0
551888519,566957468,0.046535322335919255,1.0,0.0,0.0,0.3211875998717969,-0.005783961492768948,0.0,0.0,0.045311017322788166,0.0
551888519,566958934,0.04475423351774738,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358033868141979,0.0
551888519,566957908,0.04423948288639184,1.0,0.2367739620193771,0.006754443761427193,0.0032591985307746964,0.0,-0.10712825877955576,0.0,0.0,0.0
551888519,566957522,0.044008574317587916,1.0,0.0,0.02911769089821839,-0.15242021554204369,0.0,0.0,0.1705306881004413,0.0,0.0
551888519,566958844,0.043603542993875144,1.0,0.0,0.0,0.0,0.0,0.34882834395100115,0.0,0.0,0.0
551888519,566957515,0.04356349924496885,1.0,0.0,0.0,0.307439088442231,0.0410689055175198,0.0,0.0,0.0,0.0
551888519,566956692,0.0417871619020185,1.0,0.0,0.334297295216148,0.0,0.0,0.0,0.0,0.0,0.0
551888519,566957371,0.04032472637675902,1.0,0.0,0.0,0.024119883995105534,0.0,0.0,0.0,0.29847792701896664,0.0
551888519,566957475,0.037498235779046166,1.0,0.0,0.0,0.0,0.2999858862323693,0.0,0.0,0.0,0.0
551888519,566957629,0.035052391396104755,1.0,0.0,0.28041913116883804,0.0,0.0,0.0,0.0,0.0,0.0
551888519,566957099,0.03464502840266912,1.0,0.0,0.0,0.04346218319044036,0.0,0.23369804403091265,0.0,0.0,0.0
551888519,588880791,0.03411104718948331,1.0,0.0,-0.013849255348521428,0.03626672763606857,0.05147734868698635,0.0,-0.0324320798418194,0.0,0.13886296600247078
551888519,588881132,0.03249981779903212,1.0,0.0,0.0,0.0051619828067676924,-0.09619614872658554,0.0,0.0,0.0,0.15864041085890374
551888519,566958446,0.031159702130238193,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24927761704190554
551888519,566957435,0.029489515904244385,1.0,0.0,0.0,0.0,0.23560325921801048,0.0003128680159446142,0.0,0.0,0.0
551888519,566956864,0.02899959930429503,1.0,-0.06550255430344662,-0.010522800028532609,0.0,0.0,0.0,0.15597144010238104,0.0,0.0
551888519,566957391,0.025916486234188914,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2073318898735113,0.0
551888519,566956757,0.024541945735336742,1.0,-0.08628366788517014,0.0,0.1100518979975238,0.0,0.0,0.0,0.0,0.0
551888519,566958038,0.022068515224733135,1.0,0.0,0.17654812179786508,0.0,0.0,0.0,0.0,0.0,0.0
551888519,588881207,0.02088008986156654,1.0,0.16158616395193476,0.0,0.0,0.0,0.0,-0.005454554940597589,0.0,0.0
551888519,566956844,0.020480230385636178,1.0,0.0,0.0,0.0,5.7239818943916335e-05,0.0,0.0,0.16167558349836172,-0.0021090197677837686
551888519,566958841,0.01979576691235593,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15836613529884744,0.0
551888519,566956759,0.019515346224555072,0.8,0.0,0.0,0.15612276979644057,0.0,0.0,0.0,0.0,0.0
551888519,566956763,0.01882389219292992,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15059113754343936,0.0
551888519,566958736,0.01863248721960608,1.0,0.0,0.0,0.0,0.018238011560036002,0.0,0.0,0.0,0.13082188619681265
551888519,588880924,0.01816985905602958,1.0,0.0,-0.0012437906604798256,0.0,0.0,0.0,0.0,0.14411508178775684,0.0
551888519,566957179,0.018030458857612147,0.8,0.0,0.0,0.0,0.0,0.0,0.14424367086089718,0.0,0.0
551888519,566958944,0.01797344545469434,1.0,0.0,0.01943782566534228,0.0,-0.01357018923253268,0.0,0.11077954873967977,0.0,0.0
551888519,566958504,0.017036056725165685,1.0,0.0,0.03177724008247991,0.10451121371884557,0.0,0.0,0.0,0.0,0.0
551888519,566958534,0.017012166923537908,1.0,0.0,0.0,0.0,0.0036841207632456303,0.0,0.09075376351632095,-0.021731260674419647,0.019928190434317032
551888519,566958069,0.01676554928060312,0.8,0.0,0.09800492854525225,0.0,0.0,0.0,0.0,0.0,-0.03611946569957272
551888519,588881415,0.016510827684854415,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13208662147883532
