true_orientation,0,45,90,135,180,225,270,315
0,0.4657534246575342,0.2602739726027397,0.0,0.0273972602739726,0.1643835616438356,0.0821917808219178,0.0,0.0
45,0.013333333333333334,0.68,0.02666666666666667,0.013333333333333334,0.013333333333333334,0.21333333333333335,0.02666666666666667,0.013333333333333334
90,0.0,0.09333333333333334,0.8,0.0,0.0,0.02666666666666667,0.06666666666666667,0.013333333333333334
135,0.013333333333333334,0.10666666666666667,0.0,0.7333333333333333,0.013333333333333334,0.02666666666666667,0.0,0.10666666666666667
180,0.17333333333333334,0.08,0.0,0.04,0.64,0.04,0.02666666666666667,0.0
225,0.0,0.29333333333333333,0.0,0.02666666666666667,0.013333333333333334,0.6266666666666667,0.04,0.0
270,0.013333333333333334,0.2,0.16,0.013333333333333334,0.02666666666666667,0.04,0.5466666666666666,0.0
315,0.0,0.04,0.0,0.17333333333333334,0.0,0.02666666666666667,0.013333333333333334,0.7466666666666667
