true_orientation,0,45,90,135,180,225,270,315
0,0.9466666666666667,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0
45,0.02666666666666667,0.92,0.013333333333333334,0.013333333333333334,0.0,0.013333333333333334,0.013333333333333334,0.0
90,0.0,0.013333333333333334,0.7866666666666666,0.12,0.013333333333333334,0.0,0.06666666666666667,0.0
135,0.0,0.0,0.06756756756756757,0.8648648648648649,0.02702702702702703,0.0,0.0,0.04054054054054054
180,0.0,0.0,0.0,0.04054054054054054,0.9594594594594594,0.0,0.0,0.0
225,0.013333333333333334,0.09333333333333334,0.013333333333333334,0.04,0.013333333333333334,0.8133333333333334,0.013333333333333334,0.0
270,0.0,0.013333333333333334,0.06666666666666667,0.0,0.0,0.0,0.8933333333333333,0.02666666666666667
315,0.0,0.0,0.0,0.12,0.0,0.0,0.02666666666666667,0.8533333333333334
