true_orientation,0,45,90,135,180,225,270,315
0,0.8666666666666667,0.0,0.013333333333333334,0.0,0.05333333333333334,0.013333333333333334,0.013333333333333334,0.04
45,0.0,0.88,0.013333333333333334,0.0,0.0,0.10666666666666667,0.0,0.0
90,0.0,0.0,0.7027027027027027,0.02702702702702703,0.0,0.0,0.22972972972972974,0.04054054054054054
135,0.013333333333333334,0.0,0.02666666666666667,0.7733333333333333,0.0,0.013333333333333334,0.013333333333333334,0.16
180,0.08108108108108109,0.0,0.013513513513513514,0.04054054054054054,0.8108108108108109,0.013513513513513514,0.0,0.04054054054054054
225,0.0,0.04,0.08,0.0,0.013333333333333334,0.8666666666666667,0.0,0.0
270,0.02666666666666667,0.0,0.26666666666666666,0.0,0.0,0.013333333333333334,0.6666666666666666,0.02666666666666667
315,0.02666666666666667,0.0,0.04,0.12,0.0,0.0,0.12,0.6933333333333334
