targeted_structure,n_sessions,mean_accuracy,sd_accuracy,mean_neurons,mean_trials,chance_level,accuracy_above_chance
VISal,6,0.5805718954248366,0.14620931113458743,132.33333333333334,598.0,0.125,0.45557189542483656
VISp,8,0.8056495098039216,0.10142338527722483,202.125,598.0,0.125,0.6806495098039216
VISpm,7,0.353625450180072,0.1359170981921636,73.0,598.1428571428571,0.125,0.22862545018007202
