true_orientation,0,45,90,135,180,225,270,315
0,0.6216216216216216,0.02702702702702703,0.0,0.04054054054054054,0.24324324324324326,0.0,0.0,0.06756756756756757
45,0.02666666666666667,0.7333333333333333,0.0,0.04,0.0,0.14666666666666667,0.02666666666666667,0.02666666666666667
90,0.0,0.02666666666666667,0.84,0.02666666666666667,0.0,0.0,0.09333333333333334,0.013333333333333334
135,0.0,0.013333333333333334,0.05333333333333334,0.8266666666666667,0.013333333333333334,0.0,0.02666666666666667,0.06666666666666667
180,0.24,0.0,0.0,0.05333333333333334,0.6266666666666667,0.0,0.013333333333333334,0.06666666666666667
225,0.0,0.10810810810810811,0.0,0.04054054054054054,0.0,0.7702702702702703,0.013513513513513514,0.06756756756756757
270,0.0,0.013333333333333334,0.08,0.12,0.013333333333333334,0.02666666666666667,0.6666666666666666,0.08
315,0.0,0.02666666666666667,0.013333333333333334,0.22666666666666666,0.0,0.0,0.04,0.6933333333333334
