true_orientation,0,45,90,135,180,225,270,315
0,0.76,0.013333333333333334,0.013333333333333334,0.02666666666666667,0.08,0.013333333333333334,0.013333333333333334,0.08
45,0.06666666666666667,0.8133333333333334,0.0,0.0,0.013333333333333334,0.09333333333333334,0.0,0.013333333333333334
90,0.05333333333333334,0.013333333333333334,0.8,0.013333333333333334,0.05333333333333334,0.0,0.06666666666666667,0.0
135,0.0547945205479452,0.0,0.0136986301369863,0.7808219178082192,0.0684931506849315,0.0,0.0136986301369863,0.0684931506849315
180,0.13333333333333333,0.013333333333333334,0.05333333333333334,0.02666666666666667,0.6533333333333333,0.02666666666666667,0.02666666666666667,0.06666666666666667
225,0.02666666666666667,0.12,0.013333333333333334,0.013333333333333334,0.04,0.76,0.02666666666666667,0.0
270,0.05333333333333334,0.013333333333333334,0.17333333333333334,0.0,0.013333333333333334,0.02666666666666667,0.7066666666666667,0.013333333333333334
315,0.02666666666666667,0.0,0.04,0.04,0.02666666666666667,0.02666666666666667,0.013333333333333334,0.8266666666666667
